B0: ,R17
B1: ,R5
B2: ,R72
B3: ,R81
B4: ,R6
B5: ,R40
B6: ,R88
B7: ,R63
B8: ,R11
B9: ,R0
B10: ,R47
B11: ,R76
B12: ,R57
B13: ,R16
B14: ,R7
B15: ,R66
B16: ,R39
B17: ,R37
B18: ,R60
B19: ,R21
B20: ,R78
B21: ,R46
B22: ,R90
B23: ,R89
B24: ,R50
B25: ,R36
B26: ,R31
B27: ,R15
B28: ,R12
B29: ,R68
B30: ,R22
B31: ,R58
B32: ,R97
B33: ,R91
B34: ,R53
B35: ,R74
B36: ,R2
B37: ,R48
B38: ,R54
B39: ,R32
B40: ,R45
B41: ,R41
B42: ,R27
B43: ,R71
B44: ,R30
B45: ,R80
B46: ,R42
B47: ,R98
B48: ,R93
B49: ,R38
B50: ,R75
B51: ,R56
B52: ,R14
B53: ,R19
B54: ,R92
B55: ,R8
B56: ,R61
B57: ,R87
B58: ,R49
B59: ,R9
B60: ,R3
B61: ,R18
B62: ,R67
B63: ,R69
B64: ,R20
B65: ,R62
B66: ,R64
B67: ,R65
B68: ,R73
B69: ,R83
B70: ,R99
B71: ,R34
B72: ,R77
B73: ,R44
B74: ,R85
B75: ,R26
B76: ,R4
B77: ,R55
B78: ,R82
B79: ,R59
B80: ,R51
B81: ,R52
B82: ,R70
B83: ,R94
B84: ,R35
B85: ,R25
B86: ,R96
B87: ,R24
B88: ,R86
B89: ,R13
B90: ,R33
B91: ,R43
B92: ,R29
B93: ,R79
B94: ,R28
B95: ,R84
B96: ,R23
B97: ,R1
B98: ,R95
B99: ,R10
