B0: ,R42
B1: ,R61
B2: ,R26
B3: ,R50
B4: ,R93
B5: ,R17
B6: ,R70
B7: ,R87
B8: ,R97
B9: ,R37
B10: ,R27
B11: ,R46
B12: ,R5
B13: ,R77
B14: ,R79
B15: ,R0
B16: ,R7
B17: ,R33
B18: ,R54
B19: ,R57
B20: ,R75
B21: ,R2
B22: ,R88
B23: ,R20
B24: ,R56
B25: ,R71
B26: ,R90
B27: ,R63
B28: ,R83
B29: ,R36
B30: ,R16
B31: ,R84
B32: ,R35
B33: ,R25
B34: ,R47
B35: ,R24
B36: ,R68
B37: ,R31
B38: ,R39
B39: ,R40
B40: ,R67
B41: ,R89
B42: ,R28
B43: ,R29
B44: ,R73
B45: ,R19
B46: ,R59
B47: ,R6
B48: ,R81
B49: ,R95
B50: ,R60
B51: ,R45
B52: ,R64
B53: ,R72
B54: ,R21
B55: ,R74
B56: ,R62
B57: ,R86
B58: ,R48
B59: ,R82
B60: ,R32
B61: ,R43
B62: ,R8
B63: ,R18
B64: ,R99
B65: ,R15
B66: ,R80
B67: ,R96
B68: ,R65
B69: ,R3
B70: ,R76
B71: ,R53
B72: ,R12
B73: ,R85
B74: ,R9
B75: ,R11
B76: ,R30
B77: ,R98
B78: ,R10
B79: ,R13
B80: ,R41
B81: ,R69
B82: ,R51
B83: ,R38
B84: ,R4
B85: ,R1
B86: ,R14
B87: ,R55
B88: ,R66
B89: ,R58
B90: ,R91
B91: ,R78
B92: ,R49
B93: ,R23
B94: ,R94
B95: ,R52
B96: ,R22
B97: ,R34
B98: ,R44
B99: ,R92
